,company names,phones,urls,emails
0,"VENFRICO NAVARRA, S.L.",948290944,www.venfrico.com,venfrico@venfrico.com
1,"G. COPROVEN CLIMATIZACION, S.L.",943337169,www.coproven.com,suministros@coproven.com
2,"BRICOLAJE ALPUENTE, S.L.",961440254,www.ismaelnatividad.com,info@ismaelnatividad.com
3,"ALMACENES COFESUR, S.L.",not found,www.cofesur.es,comercial@cofesur.es
4,"LA CASA DEL PINTOR TU CASA, S.L.",not found,www.casa-del-coche.business.site,not found
5,"MATERIALS DE CONSTRUCCIO MARTORELL TORRANDELL, S.L.",971534757,www.bdbmartosa.com,martosa@grupbdb.com
6,"MANXA 1.901, S.L.",972274530,www.manxa.es,administracio@manxa.com
7,"ELOLA DOS, S.L.",916681146,www.elolados.com,ventas@elolados.com
9,"PRODUCTES NATURALS CATALUNYA, S.L.",937753213,www.proncat.es,info@procat.com
10,"EDISER CASTELLNOU, S.L.",935870102,WWW.GRUPOEDISER.COM,castellnou@grupoediser.com
11,"FARECOR MORTEROS, S.L.",957509314,www.farecor.es,info@farecor.com
12,"PROMOTORA DEL GARRAF, S.L.",938448041,www.emccat.cat,info@progasa.net
13,"ELECTRO SOLER MANILS, S.L.",937784389,www.electrosoler.com,comercial@electrosoler.com
14,"MIGAL FONQUIVIR, S.L.",954359932,www.migalfonquivir.es,pedidos@migalfonquivir.com
15,"CLIVENT ESPECIALISTES EN VENTILACIO, S.A.",937205910,www.clivent.cat,clivent@clivent.cat
16,"LESMA TUDELA, S.L.",948827718,mailto:lesma@grupobdb.com?subject=Contacto desde https://empresite.eleconomista.es,lesma@grupobdb.com
17,"MATERIALS FARRENY, S.L.",973445098,www.materialsfarreny.com,materials@materialsfarreny.com
18,"ARMALLATS, S.A.",972290029,mailto:armallats@armangue.net?subject=Contacto desde https://empresite.eleconomista.es,armallats@armangue.net
19,"CONSTRUCCIONES OLIASTUR, S.A.",not found,www.construcciones-cma.com,not found
20,"GRESAIDA EIVISSA, S.L.",971318810,www.gresaida.es,comercial@gresaida.com
21,"GRESS ARGENTONA, S.L.",937414716,www.gress.es,info@gress.es
23,"NOVELEC CERDANYOLA, S.L.",935947072,mailto:cerdanyola@gruponovelec.com?subject=Contacto desde https://empresite.eleconomista.es,cerdanyola@gruponovelec.com
24,"NOVELEC MARESME, S.L.",937588866,www.gruponovelec.com,maresme@gruponovelec.com
25,"NOVELEC GARPE, S.L.",972969195,www.novelec-electric.com,girones@gruponovelec.com
26,"SANEAMIENTOS LINARES, S.L.",958570319,www.bigmat.es,linares@bigmat.es
27,"NOVELEC RONDES, S.L.",934753203,www.gruponovelec.com,rondes@gruponovelec.com
28,"NOVELEC BAIX CAMP, S.L.",977124075,www.gruponovelec.com,baixcamp@gruponovelec.com
29,"HIJOS DE EL TURRO, S.L.",958660691,mailto:info@hijosdelturro.es?subject=Contacto desde https://empresite.eleconomista.es,info@hijosdelturro.es
30,"VILLACASETAS, S.L.",918030899,mailto:villacasetas@hotmail.com?subject=Contacto desde https://empresite.eleconomista.es,villacasetas@hotmail.com
31,"CENTRALDIS, S.C.P.",938392484,not found,not found
32,"MELERO CB, S.L.",not found,www.melerologistica.es,administracion@melerologistica.es
33,"BRICO EXPRESS, S.L.U.",938443362,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
34,"SUBMINISTRES SAMA, S.L.",931050559,www.subministressama.es,info@subministressama.es
35,"ALKIHAIZEA, S.A.",943554646,www.alkihaizea.com,alkihaizea@alkihaizea.com
36,"MAINATE, S.A.",948312633,www.mainate.es,info@mainate.es
37,"UNIFERAG CARIBE, S.L.",916456161,www.uniferag.es,info@uniferag.com
38,"COMUNO KOPTIMO, S.L.",914006984,www.comuno.es,info@comuno.es
39,"FERROTEK SUMINISTROS, S.A.",956612239,www.ferrotek.es,administracion@ferrotek.es
40,"SERVIMACON, S.L.",957455412,not found,not found
41,"DRAGO CAPITAL, S.L.",917815700,www.dragocapital.com,madrid@dragocapital.com
42,"ARATZ PROJECT, S.L.L.",948467232,mailto:aratzo01@terra.es?subject=Contacto desde https://empresite.eleconomista.es,aratzo01@terra.es
43,"MIGUEL LARA E HIJOS, S.L.",968670133,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
44,"SOB ARQUITECTOS, S.L.",934514440,www.sob.es,bcn@sob.com.es
45,"STRUGAL 8, S.L.",955630150,www.strugal.com,mj.nunez@strugal.com
46,"VALVERDE HERMANOS, S.L.",926909868,www.valverdehermanos.com,info@valverdehermanos.com
48,"VICONSA, S.A.",944432158,www.viconsa.es,viconsa@viconsa.es
49,"OBRAS Y PROMOCIONES COMAS, S.A.",971514003,www.comas.es,lgomez@comas.es
50,"IROCA, S.A.",985210805,www.iroca.es,info@iroca.es
51,"CONSTRUCCIONES RUBIO MORTE, S.A.",976230033,www.rubiomorte.com,info@rubiomorte.com
52,"SERRAZAR, S.L.",915599922,www.serrazar.es,serrazar@serrazar.es
53,"CONSTRUCCIONES ALBORA, S.A.",954628202,www.bekinsa.es,info@bekinsa.es
54,"EMPRESA CONSTRUCTORA EJUCA, S.A.",916346176,www.ejuca.com,info@ejuca.com
55,"ACIMUTH SERVICIOS INTEGRALES DE CONSULTORIA ENERGETICA Y ENERGIAS RENOVABLES, S.L.",948351496,www.acimuth.com,info@acimuth.com
56,"PAOBAL ALBALATE, S.L.",974468639,www.paobal.com,paobal@paobal.com
58,"IZA OBRAS Y PROMOCIONES, S.A.",not found,mailto:izaskun@izaoyp.com?subject=Contacto desde https://empresite.eleconomista.es,izaskun@izaoyp.com
59,"CONSTRUCCIONES EMILIO CUETO, S.L.",985238290,www.emiliocueto.com,correo@emiliocueto.com
60,"FERBOCAR CONSTRUCCIONES, S.A.",913540280,www.ferbocar.com,info@ferbocar.com
61,"MAHECO, S.A.",935942044,www.maheco.es,maheco@maheco.es
62,"GRUPO CEREMON, S.L.",963427258,www.grupoceremon.com,administracion@grupoceremon.com
63,"VIDROPLAST CANTABRIA, S.L.",942254617,www.vidroplastcantabria.com,colindres@vidroplastcantabria.com
64,"PERFILES NAVARRA, S.L.",948330602,www.perfinasa.com,administracion@perfinasa.com
65,"EL VENTORRO E HIJOS, S.L.",925544439,www.elventorroehijossl.com,elventorroehijossl@gmail.com
66,"ISIDORO CARO E HIJOS, S.L.",925730816,mailto:icaroehijos@hotmail.com?subject=Contacto desde https://empresite.eleconomista.es,icaroehijos@hotmail.com
67,"ELESANCO, S.L.",942310863,www.elesanco.es,elesanco@elesanco.com
68,"BERDIN RIOJA, S.L.",941200099,www.berdin.com,rioja@berdin.com
69,"MAELVA DE MATERIAL ELECTRIC, S.L.",937240306,www.maelva.cat,maelva@maelva.cat
70,"BAU PANEL SYSTEMS, S.L.",not found,www.bautecnic.com,not found
71,"TRASDOS, S.L.",914473033,not found,not found
72,"GILABERT MIRO, S.A.",977757635,www.gilabertmiro.com,info@gilabertmiro.com
73,"ROUSSEAU, S.A.U.",916011020,www.rousseau-sa.fr,mercedes.banegas@rousseau-sanitaire.com
74,"MOSAICOS ALONSO BM, S.L.",not found,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
75,"SANEAMIENTOS CAMPOS, S.A.",987615560,www.saneamientoscampos.es,saneamientoscampos@hotmail.com
76,"INMOBILIARIA SANDI, S.L.",914330500,www.sandi.es,info@sandi.es
77,"CASTROGRES, S.L.",942871045,www.castrogres.com,info@castrogres.com
78,"ALMACENES PEDROUZO, S.A.",981701711,www.jmpedrouzo.com,admin@jmpedrouzo.com
79,"COBLANSA, S.A.",941249599,www.coblansa.com,coblansa@coblansa.com
80,"MORCILLO COMERCIAL FERRETERA, S.L.",926514842,www.comercialcaro.es,cfcaro@cfcaro.es
81,"MANUEL RIVAS BOQUETE, S.L.",981272771,www.rivasboquete.com,oficina@rivasboquete.com
82,"CIMENTACIONES Y FERRALLA, S.A.",977217698,mailto:info@cyfesa.com?subject=Contacto desde https://empresite.eleconomista.es,info@cyfesa.com
83,"CENTRELEC, S.L.",920253864,www.centrelec.es,centrelecjgg@centrelecavila.es
