,company names,phones,urls,emails
0,"COMERCIAL CAMPINO, S.L.",979122570,www.comercialcampino.com,administracion@comercialcampino.com
1,"CONSTRUCCIONES LOS CAMPOS, S.L.",not found,not found,not found
2,"CIVIT, S.L.",937983100,www.pinturescivit.com,pinturascivit@civitsl.com
3,"FERROCUR, S.L.",928518641,mailto:administracion@ferrocur.com?subject=Contacto desde https://empresite.eleconomista.es,administracion@ferrocur.com
4,"J. PARRILLA, S.A.",not found,not found,not found
5,"FERRETERIA LEMON, S.L.",986542036,www.lemonsl.com,ferreteria@lemonsl.com
6,"YESOS HIVISO, S.L.",941390113,www.yesoshiviso.com,yesoshivisosl@hotmail.com
7,"AZULEJOS GALISAN, S.L.",not found,not found,not found
8,"PROMOCIONES INMOBILIARIAS DALTRE, S.L.",922824286,mailto:promociones@daltre.com?subject=Contacto desde https://empresite.eleconomista.es,promociones@daltre.com
9,"LADRILLERAS IBICENCAS, S.A.",971314886,www.ladrillerasibicencas.com,info@ladrillerasibicencas.com
10,"GRUPO ALICANTE URBANA, S.L.",not found,mailto:acraurbana@acraurbana.es?subject=Contacto desde https://empresite.eleconomista.es,acraurbana@acraurbana.es
11,"COPROSAL, S.L.",982221153,www.coprosal.es,not found
12,"CONSTRUCCIONES CARABAZA HIDALGO, S.L.",942882035,www.carabazahidalgo.com,oficina@carabazahidalgo.com
13,"PROMOCIONES Y CNES. CASTRILLON, S.A.",943780554,www.cnes-ugarte.com,ugarte@cnes-ugarte.com
14,"INMOBILIARIA ORTEGA, S.A.",not found,www.ortegagrup.com,not found
15,"PROMOCIONES MANUEL VAZQUEZ, S.L.",986238139,www.promocionesmanuelvazquez.es,info@promocionesmanuelvazquez.es
16,"MAQUINARIA DISBER, S.L.",961221600,www.disber.com,disber@disber.com
17,"E. HIGUERAS, S.A.",957643157,www.higueras.net,not found
18,"CRISTALERIA RAMOS Y RAMOS, S.L.",916861622,www.ramosiv.es,pedidos.climalit@ramosiv.es
19,"INDUSTRIAL ALONSO Y CUESTA, S.L.",985673107,www.alonsoycuesta.com,facturacion@alonsoycuesta.com
20,"SANEAMIENTOS CERCADILLO, S.L.",975240594,mailto:administracion@cercadillosl.com?subject=Contacto desde https://empresite.eleconomista.es,administracion@cercadillosl.com
21,"AREALOURA, S.A.",986294400,www.grupoviqueira.com,info@grupoviqueira.com
22,"GERICO RADIO, S.L.",920300354,www.gerico.es,not found
23,"INTERFLEX, S.L.",935643112,www.interflex.es,interflex@interflex.es
24,"COMERCIAL JUSA, S.A.",not found,mailto:contafis@xeres-sg.com?subject=Contacto desde https://empresite.eleconomista.es,contafis@xeres-sg.com
25,"PORTERO ESCOBAR EXPOSICIONES, S.L.",not found,mailto:porteroazulejos@grupoportero.com?subject=Contacto desde https://empresite.eleconomista.es,porteroazulejos@grupoportero.com
26,"MADERAS GOIAN, S.L.",986620315,www.maderasgoian.es,ventas@maderasgoian.com
27,"MIGUEL SALINERO, S.L.",923540423,mailto:miguelsalinero@grupobdb.com?subject=Contacto desde https://empresite.eleconomista.es,miguelsalinero@grupobdb.com
28,"BACHMANN, S.A.",935041253,www.bachmann.com,info@bachmann.com
29,"CELESTINO VIEJO, S.L.",949320079,www.celestinoviejo.com,celestino@celestinoviejo.com
30,"CEYMACO, S.L.",not found,not found,not found
31,"AYUSO 3 BURGOS, S.L.",not found,mailto:ayuso3burgos@grupoayuso.org?subject=Contacto desde https://empresite.eleconomista.es,ayuso3burgos@grupoayuso.org
32,"MATERIALES DE CONSTRUCCION RETAMOSA, S.L.",967373101,mailto:retamosa@bigmat.es?subject=Contacto desde https://empresite.eleconomista.es,retamosa@bigmat.es
33,"MADERAS ROMERO, S.A.",924800343,www.maderasromero.eu,info@maderasromero.es
34,"MANUEL SAN FRUTOS, S.L.",921140220,mailto:manuelsanfrutos@manuelsanfrutos.es?subject=Contacto desde https://empresite.eleconomista.es,manuelsanfrutos@manuelsanfrutos.es
35,"MATERIALES ESSACO, S.L.",not found,www.materiales-chico-s-l.negocio.site,not found
36,"REVILUIS, S.L.",920240433,www.reviluis.com,reviluis@reviluis.com
37,"DISERVAN DOUS, S.L.",not found,www.diservan.com,diservan@diservan.com
38,"COMERCIAL FONCAMO, S.A.",925232139,www.foncamo.es,foncamo@foncamo.es
39,"ROMAJE, S.L.",925123399,www.romaje.es,not found
40,"FIXAGAL, S.L.",981263741,www.fixagal.com,pedidos@fixagal.net
41,"HERRERO ANTONA, S.L.",921560140,www.julianherrero.com,info@julianherrero.com
42,"LA HERRAMIENTA INDUSTRIAL, S.L.",not found,www.herramienta-neumatica.es,not found
43,"FERPUEBLA, S.L.",not found,not found,not found
44,"FERRO BAZAR, S.L.",985307065,www.ferrobazar.com,ferrobazar@ferrobazar.com
45,"ARCOIRIS 2002, S.L.",not found,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
46,"LARA MATERIALES Y CONSTRUCCIONES, S.L.",924366782,mailto:lara@laramaterialesyconstruccion.es?subject=Contacto desde https://empresite.eleconomista.es,lara@laramaterialesyconstruccion.es
47,"CHELINO 2012, S.L.",not found,mailto:chelino2012s1@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,chelino2012s1@gmail.com
48,"OXIGAR, S.L.",not found,www.oxigar.es,oxigar@oxigar.es
49,"FERRETERIA M. CASAIS, S.L.",981844325,mailto:info@ferreteriacasais.com?subject=Contacto desde https://empresite.eleconomista.es,info@ferreteriacasais.com
50,"SUMINISTROS INDUSTRIALES LEMOS-OURENSE, S.L.",988225034,mailto:silemos@silemos.com?subject=Contacto desde https://empresite.eleconomista.es,silemos@silemos.com
51,"SINELEC HENARES, S.L.",949200977,www.gruposinelec.com,henares@gruposinelec.com
52,"ALQUIOR, S.L.",988226617,www.alquior.com,alquiore1@gmail.com
53,"ANGEL VIZOSO, S.L.",982574178,mailto:angelvizososl@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,angelvizososl@gmail.com
54,"JILOVAL, S.L.",926311097,mailto:administracion2@distribucionesjiloval.es?subject=Contacto desde https://empresite.eleconomista.es,administracion2@distribucionesjiloval.es
55,"SERVICIO DE ENCOFRADOS ALISAN, S.A.",918953262,www.alsina.es,alsina@alsina.es
56,"CLARAMUNT MATERIALS DE CONSTRUCCIO, S.L.",937690634,www.bigmat.es,claramunt@bigmat.es
57,"FELIPE DE MARCO, S.A.",916561101,www.felipedemarco.com,comercial@felipedemarcosa.com
58,"SALTOKI CENTRO, S.A.",900115511,www.saltoki.com,saltoki@saltoki.es
59,"INCACOLOR, S.L.",971880115,www.incacolor.com,contabilidad@incacolor.com
60,"TUGARO, S.L.",952701920,www.tugaro.es,info@tugaro.es
61,"CONSTRUMAT VALL DE UXO, S.L.",964660450,www.construmatlavall.com,admin@construmatlavall.com
62,"SUMINISTROS CARLET, S.L.",962533033,www.bigmat.es,carletadministracion@bigmat.es
63,"GARJOR, S.L.",922780277,mailto:garjor@garjor.es?subject=Contacto desde https://empresite.eleconomista.es,garjor@garjor.es
64,"HUMET CERAMIQUES, S.L.",935600658,www.humetgamma.es,mhumet@humetgamma.cat
65,"GRUPO INMOBILIARIO CASTELLVI, S.L.",934870990,www.grupocastellvi.es,grupocastellvi@grupocastellvi.com
66,"FECASTO, S.L.",957692295,www.fecasto.es,abogado@bergomez.com
67,"FITA IBICENTRO, S.A.",971313001,www.fitaibicentro.com,fita@fitaibicentro.com
68,"FERRETERIA OLIVELLA, S.L.",938154917,www.ferreteriaolivella.com,info@ferreteriaolivella.com
69,"SUMINISTROS INDUSTRIALES GOSAN, S.L.",914726316,www.sigosan.com,gosan@sigosan.com
70,"FERRETERIA FONT FREDA, S.L.",not found,not found,not found
71,"TOMAS LLAVADOR ARQUITECTOS E INGENIEROS, S.L.",not found,not found,not found
72,"OVISA PAVIMENTOS Y OBRAS, S.L.",982200920,mailto:buzon@eurovia-es.com?subject=Contacto desde https://empresite.eleconomista.es,buzon@eurovia-es.com
73,"TRAVIPOS, S.A.",977296553,www.travipos.com,administracion@travipos.com
74,"CEMENTOS MALLAND, S.A.",938698419,mailto:administracio@productoslafac.com?subject=Contacto desde https://empresite.eleconomista.es,administracio@productoslafac.com
75,"JOFIBA, S.A.",961540308,www.jofiba.com,jofiba@jofiba.com
76,"SUBEROLITA, S.A.",972011000,www.betonc.com,comercial@betonc.com
77,"INDUSTRIAS DEL CAUCHO, S.L.",936751602,www.cauchospalsa.com,info@cauchospalsa.com
78,"ALMACENES QUERO, S.L.",951704696,www.almacenesquero.es,not found
79,"SALAZAR MATERIALES, S.L.",968707134,mailto:salazarmateriales@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,salazarmateriales@gmail.com
80,"REYES SUERO, S.L.",954181316,www.reyessuero.com,info@reyessuero.com
81,"AZUL-GRES DEL MEDITERRANEO, S.L.",966744859,www.debarro.es,not found
82,"DIZU, S.L.",950470303,mailto:dizu@dizu.com?subject=Contacto desde https://empresite.eleconomista.es,dizu@dizu.com
83,"VALLS HERMANOS, S.L.",938784700,www.vallsgermans.es,comercial@vallsgermans.com
84,"ALMACENES HERMANOS VALERIANO, S.L.",956794365,www.valerianosl.com,info@valerianosl.com
85,"PRETENSADOS CAC, S.L.",not found,not found,not found
86,"CAN SOLER, S.A.",971630219,mailto:cansoler@cansoler.es?subject=Contacto desde https://empresite.eleconomista.es,cansoler@cansoler.es
87,"CONSTRUCCIONES SABATER, S.A.",not found,www.sabateringenieros.es,not found
88,"SUMISUR, S.L.",957201211,www.sumisur.es,administracion@sumisur.es
89,"MARTIN ARRABAL, S.L.",958420068,www.martinarrabal.com,not found
90,"AIZMAN KOS, S.L.",943148124,mailto:aizmankos@aizmankos.com?subject=Contacto desde https://empresite.eleconomista.es,aizmankos@aizmankos.com
91,"COMERCIAL COBO PULIDO, S.L.",953350017,www.cobo-pulido.com,comercial@cobo-pulido.com
92,INTER AVIA S.A.,935620912,www.inter-avia.com,inter-avia@bigmat.es
93,"PLANELL, S.A.",938698750,www.planell-sa.com,planell@planell-sa.com
94,"CONSTRUCCIONS CINT, S.A.",938220118,www.casagumira.com,gestio@cons-cintsa.com
95,"INMOBILIARIA ALHAMBRA, S.L.",914516175,mailto:jsanchez@norvo.es?subject=Contacto desde https://empresite.eleconomista.es,jsanchez@norvo.es
96,"MADERAS ZUBIZARRETA, S.A.",944970722,www.maderaszubizarreta.com,almabar@madezubizarreta.com
97,"BONA IBERIA, S.L.",not found,not found,not found
98,"DANIEL GARCIA, S.L.",not found,www.danielgarciaserviciotecnico.es,dgh@danielgarciaserviciotecnico.es
99,"MATERIALS DEL LLOBREGAT, S.L.",936680666,www.materialsllobregat.com,infollobregat@materialsllobregat.com
100,"COFRELEC ESPLUGUES, S.L.",933728104,www.cofrelecesplugues.com,info@cofrelecesplugues.com
101,"LA CAMBRIJA, S.A.",914169395,www.cambrija.es,cambrija@cambrija.es
102,"BELCRILUX, S.L.",914850172,www.belcrilux.com,info@belcrilux.net
103,"INDUSTRIAS RAYCO, S.A.",947590701,www.rayco.es,info@rayco.es
104,"PREFABRICADOS ALVE, S.L.",985266411,www.prefabricadosalve.com,prefabricadosalve@prefabricadosalve.com
105,"ULAHI, S.A.",943211213,www.orona-group.com,ulahi@orona.es
106,"GERO 10, S.L.",963237704,www.centrodediagerogarden.es,not found
107,"CALVIGA, S.L.",964343300,not found,not found
108,"ALMACENES LIRA, S.L.",944954604,mailto:comercial@ceramicaslira.com?subject=Contacto desde https://empresite.eleconomista.es,comercial@ceramicaslira.com
109,"MANETA AZULEJOS, S.L.",not found,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
110,"FUSTES CENTRALS, S.A.",972205350,www.esteba.com,pgarcia@esteba.com
111,"MACE MANAGEMENT SERVICES, S.A.",913198531,www.macegroup.com,mace@mace-mgt.com
112,"ZITRO MATERIALES DE CONSTRUCCION, S.L.",950226550,www.zitro.es,info@zitro.es
113,"MATERIALES CONSTRUCCION CUBELLES, S.L.",938954141,www.ma-co.es,info@ma-co.es
114,"MATERIALS CIUTADELLA JOAN I JORDI, S.L.",971385921,www.joanijordi.com,electricitat@joanijordi.com
115,"MATERIALES RUEDA, S.L.",918450353,www.materialesrueda.com,materialesrueda@materialesrueda.com
